,date,home_team,away_team,home_score,away_score,tournament
715,9/25/1995,Japan,India,6,0,AFC Championship
716,9/25/1995,South Korea,Uzbekistan,6,0,AFC Championship
717,9/26/1995,Kazakhstan,Philippines,0,0,AFC Championship
718,9/26/1995,China PR,Hong Kong,12,0,AFC Championship
719,9/27/1995,FR Yugoslavia,Switzerland,0,5,UEFA Euro qualification
720,9/27/1995,Malaysia,Thailand,1,3,AFC Championship
721,9/27/1995,South Korea,India,5,0,AFC Championship
722,9/27/1995,Japan,Uzbekistan,17,0,AFC Championship
723,9/28/1995,China PR,Kazakhstan,7,0,AFC Championship
724,9/28/1995,Hong Kong,Philippines,2,0,AFC Championship
725,9/30/1995,Iceland,France,3,3,UEFA Euro qualification
726,9/30/1995,Denmark,Sweden,1,2,UEFA Euro qualification
727,9/30/1995,Japan,Taiwan,3,0,AFC Championship
728,9/30/1995,China PR,South Korea,4,0,AFC Championship
729,10/2/1995,Taiwan,South Korea,0,0,AFC Championship
730,10/2/1995,China PR,Japan,2,0,AFC Championship
731,10/4/1995,Hungary,Turkey,6,0,UEFA Euro qualification
732,10/7/1995,Iceland,Netherlands,2,0,UEFA Euro qualification
733,10/7/1995,Belarus,Czech Republic,0,1,UEFA Euro qualification
734,10/8/1995,Wales,Republic of Ireland,0,3,UEFA Euro qualification
735,10/10/1995,Denmark,Romania,8,0,UEFA Euro qualification
736,10/11/1995,Slovakia,Finland,0,0,UEFA Euro qualification
737,10/11/1995,Belgium,Faroe Islands,2,0,UEFA Euro qualification
738,10/14/1995,Russia,France,0,0,UEFA Euro qualification
739,10/14/1995,Estonia,Poland,0,8,UEFA Euro qualification
740,10/15/1995,Sweden,Romania,8,0,UEFA Euro qualification
741,10/15/1995,Switzerland,Austria,3,0,UEFA Euro qualification
742,10/21/1995,Italy,Croatia,7,0,UEFA Euro qualification
743,10/21/1995,Turkey,Bulgaria,0,4,UEFA Euro qualification
744,10/23/1995,Scotland,Faroe Islands,7,1,UEFA Euro qualification
745,10/25/1995,Slovakia,Germany,0,3,UEFA Euro qualification
746,10/25/1995,Wales,Faroe Islands,0,1,UEFA Euro qualification
747,10/28/1995,Republic of Ireland,Faroe Islands,3,1,UEFA Euro qualification
748,11/1/1995,England,Italy,1,1,UEFA Euro qualification
749,11/4/1995,Netherlands,Russia,1,1,UEFA Euro qualification
750,11/4/1995,Croatia,Portugal,0,2,UEFA Euro qualification
751,11/4/1995,Poland,Belarus,3,0,UEFA Euro qualification
752,11/5/1995,Republic of Ireland,Scotland,2,0,UEFA Euro qualification
753,11/5/1995,Austria,Greece,1,0,UEFA Euro qualification
754,11/18/1995,Belgium,Wales,2,0,UEFA Euro qualification
755,11/19/1995,England,Croatia,5,0,UEFA Euro qualification
756,11/19/1995,Spain,Denmark,0,1,UEFA Euro qualification
757,11/22/1995,Hungary,Ukraine,1,1,UEFA Euro qualification
758,11/26/1995,Scotland,Belgium,0,3,UEFA Euro qualification
759,12/2/1995,Greece,FR Yugoslavia,0,3,UEFA Euro qualification
760,12/9/1995,France,Netherlands,1,1,UEFA Euro qualification
761,12/9/1995,Portugal,Italy,0,2,UEFA Euro qualification
762,2/11/1996,Portugal,England,0,5,UEFA Euro qualification
763,2/25/1996,Republic of Ireland,Wales,5,1,UEFA Euro qualification
764,3/2/1996,Greece,Switzerland,2,0,UEFA Euro qualification
765,3/11/1996,Norway,China PR,4,1,Algarve Cup
766,3/11/1996,Portugal,Russia,1,2,Algarve Cup
767,3/11/1996,Sweden,Denmark,2,1,Algarve Cup
768,3/11/1996,Iceland,Finland,3,1,Algarve Cup
769,3/13/1996,Portugal,Norway,0,3,Algarve Cup
770,3/13/1996,China PR,Russia,1,0,Algarve Cup
771,3/13/1996,Sweden,Finland,7,0,Algarve Cup
772,3/13/1996,Denmark,Iceland,3,0,Algarve Cup
773,3/15/1996,Norway,Russia,3,0,Algarve Cup
774,3/15/1996,Portugal,China PR,0,5,Algarve Cup
775,3/15/1996,Sweden,Iceland,1,0,Algarve Cup
776,3/15/1996,Denmark,Finland,2,0,Algarve Cup
777,3/16/1996,Italy,England,2,1,UEFA Euro qualification
778,3/17/1996,Portugal,Finland,3,0,Algarve Cup
779,3/17/1996,Russia,Iceland,1,1,Algarve Cup
780,3/17/1996,China PR,Denmark,2,1,Algarve Cup
781,3/17/1996,Norway,Sweden,4,0,Algarve Cup
782,3/24/1996,Wales,Scotland,5,1,UEFA Euro qualification
783,3/31/1996,Spain,Romania,5,1,UEFA Euro qualification
784,3/31/1996,Republic of Ireland,Belgium,0,1,UEFA Euro qualification
785,4/6/1996,Greece,Austria,0,0,UEFA Euro qualification
786,4/6/1996,Netherlands,France,1,2,UEFA Euro qualification
787,4/7/1996,Italy,Portugal,4,1,UEFA Euro qualification
788,4/7/1996,Scotland,Republic of Ireland,2,4,UEFA Euro qualification
789,4/11/1996,Germany,Slovakia,2,0,UEFA Euro qualification
790,4/13/1996,Wales,Belgium,0,0,UEFA Euro qualification
791,4/14/1996,Ukraine,Turkey,3,0,UEFA Euro qualification
792,4/14/1996,Bulgaria,Hungary,3,2,UEFA Euro qualification
793,4/18/1996,Croatia,England,0,2,UEFA Euro qualification
794,4/20/1996,Belgium,Scotland,6,1,UEFA Euro qualification
795,4/21/1996,Denmark,Spain,2,0,UEFA Euro qualification
796,5/1/1996,Romania,Spain,2,2,UEFA Euro qualification
797,5/2/1996,Germany,Norway,1,3,UEFA Euro qualification
798,5/4/1996,Belgium,Republic of Ireland,5,1,UEFA Euro qualification
799,5/4/1996,Switzerland,Greece,3,1,UEFA Euro qualification
800,5/5/1996,Germany,Finland,6,0,UEFA Euro qualification
801,5/9/1996,Turkey,Hungary,1,2,UEFA Euro qualification
